id,park_code,name,full_name,designation,description,street,city,state,zipcode,lat_long,url
73A512A3-807A-457C-8A3B-5862C9C28BBD,elis,Ellis Island,Ellis Island Part of Statue of Liberty National Monument,Part of Statue of Liberty National Monument,"How far would you travel to find a better life? What if the journey took weeks under difficult conditions? If you answered ""Whatever it takes,"" you echo the feelings of the 12 million immigrants who passed through these now quiet halls from 1892 to 1954. Ellis Island afforded them the opportunity to attain the American dream for themselves and their descendants. Come hear their stories.",Ellis Island National Museum of Immigration,New York,NY,10004,"lat:40.69946, long:-74.0401",https://www.nps.gov/elis/index.htm
45092A32-3D9F-404B-96E7-2D0F792EFAE4,erie,Erie Canalway,Erie Canalway National Heritage Corridor,National Heritage Corridor,Explore the Erie Canal and discover America's most famous and influential man-made waterway. Nowhere else will you find the distinctive locks and low bridges of the New York State Canal System or discover towns and cities whose watery front doors still give way to lively Main Streets. More than 500 miles of historic waterways and trails are here to explore.,Erie Canalway National Heritage Corridor,Cohoes,NY,12047,"lat:43.0179443359375, long:-75.9960784912109",https://www.nps.gov/erie/index.htm
77121CC2-70FB-4263-B3FF-94A6385F4E9C,esse,Essex,Essex National Heritage Area,National Heritage Area,"The Essex National Heritage Area begins just 10 miles north of Boston and covers 500 square miles of eastern Massachusetts to the New Hampshire border. The Area includes hundreds of historical sites, miles of intact landscapes, glistening coastal regions and lifetimes of rich experiences that chronicle the history of our region and of our nation.","10 Federal Street, Suite 12",Salem,MA,01970,"lat:42.6678314208984, long:-70.9571075439453",https://www.nps.gov/esse/index.htm
353241CC-4C4A-4F9E-A928-EFDCE2C6E29A,euon,Eugene O'Neill,Eugene O'Neill National Historic Site,National Historic Site,"America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten.",205 Railroad Avenue,Danville,CA,94526,"lat:37.82604456, long:-122.0271566",https://www.nps.gov/euon/index.htm
5EA02193-276A-4037-B7DB-5765A56935FD,ever,Everglades,Everglades National Park,National Park,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee, American crocodile, and the elusive Florida panther. An international treasure as well - a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.",40001 State Road 9336,Homestead,FL,33034,"lat:25.37294225, long:-80.88200301",https://www.nps.gov/ever/index.htm
1D012AC7-DD66-43F8-95B5-48C87AF072AC,fati,Fallen Timbers Battlefield and Fort Miamis,Fallen Timbers Battlefield and Fort Miamis National Historic Site,National Historic Site,The Battle of Fallen Timbers was the culminating event that demonstrated the tenacity of the American people in their quest for western expansion and the struggle for dominance in the Old Northwest Territory. The events resulted in the dispossession of American Indian tribes and a loss of colonial territory for the British military and settlers.,Battlefield is at Intersection of US23/I-475 and US 24,Maumee,OH,43537,"lat:41.5441665649414, long:-83.6975021362305",https://www.nps.gov/fati/index.htm
2337D255-2D32-4997-957A-D461EEA03AF8,feha,Federal Hall,Federal Hall National Memorial,National Memorial,"Here on Wall Street, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.",26 Wall Street,New York,NY,10005,"lat:40.70731192, long:-74.01025636",https://www.nps.gov/feha/index.htm
8A31246D-5AB9-4A0E-8FBA-A9780C468935,fiis,Fire Island,Fire Island National Seashore,National Seashore,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.",120 Laurel Street,Patchogue,NY,11772,"lat:40.69668638, long:-73.00013462",https://www.nps.gov/fiis/index.htm
35CB040E-765C-47D0-A594-05943E64EF3E,fila,First Ladies,First Ladies National Historic Site,National Historic Site,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and a small visitor center with an exhibit and film. Come learn about how the position of First Lady has evolved over time to include a public role.",205 Market Avenue South,Canton,OH,44702-2107,"lat:40.79689857, long:-81.37579869",https://www.nps.gov/fila/index.htm
7861C177-A600-4B37-B217-E9E64DC04F34,frst,First State,First State National Historical Park,National Historical Park,"Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley. From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.",New Castle Court House Museum,New Castle,DE,19720,"lat:39.83076929, long:-75.56353942",https://www.nps.gov/frst/index.htm
CA3ABD4B-B2BB-4949-9705-60CADB175FC4,flni,Flight 93,Flight 93 National Memorial,National Memorial,"On Tuesday morning, September 11, 2001, the U.S. came under attack when four commercial airliners were hijacked and used to strike targets on the ground. Nearly 3,000 people tragically lost their lives. Because of the actions of the 40 passengers and crew aboard one of the planes, Flight 93, the attack on the U.S. Capitol was thwarted.",6424 Lincoln Highway,Stoystown,PA,15563,"lat:40.06061476, long:-78.89456905",https://www.nps.gov/flni/index.htm
1F38885B-538E-499C-B5A6-30D76267AC7F,flfo,Florissant Fossil Beds,Florissant Fossil Beds National Monument,National Monument,"Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.",15807 Teller County Road 1,Florissant,CO,80816,"lat:38.91260586, long:-105.2803396",https://www.nps.gov/flfo/index.htm
C1D82E29-1291-415B-9834-5A0480D2732C,foth,Ford's Theatre,Ford's Theatre,,"April 14, 1865. President Lincoln is assassinated at Ford’s Theatre. Discover how a nation handled grief and loss, how everyday people experienced a national tragedy, and how we have remembered a fallen leader. Today, in partnership with Ford’s Theatre Society, live dramatic productions highlight Lincoln’s love of the theatre, and the power of stories to connect us to ourselves and our history.",511 10th Street NW,Washington,DC,20004,"lat:38.89668819, long:-77.02577944",https://www.nps.gov/foth/index.htm
5AD68231-8681-43F6-89B1-08E5AA4C7FE6,fobo,Fort Bowie,Fort Bowie National Historic Site,National Historic Site,"Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike the 1.5 mile trail to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land.",3500 South Apache Pass Road,Bowie,AZ,85605,"lat:32.14925942, long:-109.451132",https://www.nps.gov/fobo/index.htm
DE70B987-01A4-4BA5-9662-030BE3329AB3,foda,Fort Davis,Fort Davis National Historic Site,National Historic Site,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",101 Lt. Flipper Dr. #1379,Fort Davis,TX,79734,"lat:30.59930381, long:-103.8961904",https://www.nps.gov/foda/index.htm
7DD7A9E8-E1E9-4759-A764-5FF81FC520ED,fodo,Fort Donelson,Fort Donelson National Battlefield,National Battlefield,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",174 National Cemetery Drive,Dover,TN,37058,"lat:36.49019078, long:-87.92445695",https://www.nps.gov/fodo/index.htm
3659D57D-BF06-4351-8B14-5F447120A389,fodu,Fort Dupont Park,Fort Dupont Park,,"Welcome to Fort Dupont Park in Washington DC! At 376-acres, the wooded park was once home to earthen fort built to protect the capital during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs.",National Capitol Parks-East,Washington,DC,20020,"lat:38.87731289, long:-76.94955824",https://www.nps.gov/fodu/index.htm
649C339B-35AE-4A4D-96A5-B54E46BA8D71,fofo,Fort Foote,Fort Foote Park,Park,"Fort Foote was constructed in 1863 atop Rozier's Bluff to strengthen the ring of fortifications that encircled Washington, D.C. Two of the Guns that protected Washington are still there along with the remains of the fort's earthworks.",8915 Fort Foote Road,Oxon Hill,MD,20745,"lat:38.76901785, long:-77.02812387",https://www.nps.gov/fofo/index.htm
4301F6E9-750B-489D-B8E4-4204165894A1,fofr,Fort Frederica,Fort Frederica National Monument,National Monument,"Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service.",Fort Frederica National Monument,St. Simons Island,GA,31522,"lat:31.2214699, long:-81.39452014",https://www.nps.gov/fofr/index.htm
53C5C818-EB7C-4FEB-B94F-892588205D64,fola,Fort Laramie,Fort Laramie National Historic Site,National Historic Site,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.",965 Gray Rocks Road,Fort Laramie,WY,82212,"lat:42.20301694, long:-104.5459112",https://www.nps.gov/fola/index.htm
6C6ABAB9-7F52-4172-8009-817612726CFF,fols,Fort Larned,Fort Larned National Historic Site,National Historic Site,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,1767 KS Hwy 156,Larned,KS,67550,"lat:38.18047491, long:-99.21836664",https://www.nps.gov/fols/index.htm
31E84ADD-24C1-400B-9D8B-4588D8DC521C,foma,Fort Matanzas,Fort Matanzas National Monument,National Monument,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.",8635 A1A South,Saint Augustine,FL,32080,"lat:29.7121489, long:-81.23567535",https://www.nps.gov/foma/index.htm
B0DE766C-E87F-48BE-A94F-C9D774AD52FD,fomc,Fort McHenry,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,"by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars... were so gallantly streaming...over Fort McHenry! The valiant defense of the fort during the Battle of Baltimore on September 13-14, 1814 inspired Francis Scott Key to write the words that became the U.S. national anthem. The fort's history holds many other stories too, from the Civil War to WWII.",2400 East Fort Avenue,Baltimore,MD,21230,"lat:39.26395314, long:-76.58044165",https://www.nps.gov/fomc/index.htm
BDE93DB8-0A71-4C18-9F10-489815E742CC,fomr,Fort Monroe,Fort Monroe National Monument,National Monument,"Fort Monroe National Monument has a diverse history spanning the American story from American Indian presence, Captain John Smith's journeys, first arrival of enslaved Africans in English North America, a safe haven for freedom seekers during the American Civil War, and a bastion of defense for the Chesapeake Bay through the 21st Century. Visit and witness the on-going preservation work in action.",41 Bernard Road,Fort Monroe,VA,23651-1001,"lat:37.01733343, long:-76.30103195",https://www.nps.gov/fomr/index.htm
D2E64293-4B46-4F1A-8902-7D0FCAD268C0,fone,Fort Necessity,Fort Necessity National Battlefield,National Battlefield,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.",1 Washington Parkway,Farmington,PA,15437,"lat:39.81306048, long:-79.59033344",https://www.nps.gov/fone/index.htm
7FF57085-3B53-498D-86B5-96F5F1493A06,fopo,Fort Point,Fort Point National Historic Site,National Historic Site,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.",Fort Point National Historic Site,San Francisco,CA,94129,"lat:37.80837439, long:-122.473747",https://www.nps.gov/fopo/index.htm
3249A652-F901-40F2-A608-635B0F41574B,fopu,Fort Pulaski,Fort Pulaski National Monument,National Monument,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.",101 Fort Pulaski Road,Savannah,GA,31410,"lat:32.0308274, long:-80.93361681",https://www.nps.gov/fopu/index.htm
C84BCBF8-FC75-48BB-8032-6FF56AB2DCED,fora,Fort Raleigh,Fort Raleigh National Historic Site,National Historic Site,"Fort Raleigh National Historic Site protects and preserves known portions of England's first New World settlements from 1584 to 1590. This site also preserves the cultural heritage of the Native Americans, European Americans and African Americans who have lived on Roanoke Island.",1500 Fort Raleigh Road,Manteo,NC,27954,"lat:35.93278602, long:-75.71496865",https://www.nps.gov/fora/index.htm
8CA5777A-FFDF-45AE-9705-C4DE268D1BCC,fosc,Fort Scott,Fort Scott National Historic Site,National Historic Site,"Promises made and broken! A town attacked at dawn! Thousands made homeless by war! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.",1 Old Fort Blvd.,Fort Scott,KS,66701,"lat:37.84358849, long:-94.70429174",https://www.nps.gov/fosc/index.htm
54DC5EA0-2635-4154-BBD0-AF0F38D76933,fosm,Fort Smith,Fort Smith National Historic Site,National Historic Site,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them. From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.",301 Parker Ave,Fort Smith,AR,72901,"lat:35.38834746, long:-94.43129079",https://www.nps.gov/fosm/index.htm
D57C8F0D-71E9-46D7-B00B-001BC7E39096,fost,Fort Stanwix,Fort Stanwix National Monument,National Monument,"For centuries, the Oneida Carrying Place, a six mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.",100 North James St.,Rome,NY,13440,"lat:43.21053441, long:-75.45557626",https://www.nps.gov/fost/index.htm
372AF558-26C8-461F-B011-AF359276398D,fosu,Fort Sumter and Fort Moultrie,Fort Sumter and Fort Moultrie National Historical Park,National Historical Park,"Charleston, victorious over the Royal Navy in 1776 and scene of the largest patriot defeat in 1780, played a key role in the American Revolution. Charleston's appetite for revolution continued in the 1800s as the city blazed a path to secession to safeguard slavery. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861, opening the Civil War, which redefined American freedom.",340 Concord Street,Charleston,SC,29401,"lat:32.75654469, long:-79.87068744",https://www.nps.gov/fosu/index.htm
FB1AE18D-522F-434B-9983-3D0194CE1995,foun,Fort Union,Fort Union National Monument,National Monument,"Exposed to the wind, within a sweeping valley of short grass prairie, amid the swales of the Santa Fe Trail, lie the territorial-style adobe remnants of the largest 19th century military fort in the region. For forty years, 1851-1891, Fort Union functioned as an agent of political and cultural change, whether desired or not, in New Mexico and throughout the Southwest.",3115 NM Highway 161,Watrous,NM,87753,"lat:35.90700629, long:-105.0145185",https://www.nps.gov/foun/index.htm
60B1534B-5C3A-402A-ABC6-700B756F69A2,fous,Fort Union Trading Post,Fort Union Trading Post National Historic Site,National Historic Site,"Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Indian Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.",15550 Highway 1804,Williston,ND,58801,"lat:48.00075828, long:-104.0375238",https://www.nps.gov/fous/index.htm
B13AB831-6806-4CBA-A93D-4E2FCC39F6F7,fova,Fort Vancouver,Fort Vancouver National Historic Site,National Historic Site,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.",1501 E Evergreen Blvd,Vancouver,WA,98661,"lat:45.62234841, long:-122.6617043",https://www.nps.gov/fova/index.htm
E49B3D75-8676-4417-BFAD-8B3E23B1418B,fowa,Fort Washington,Fort Washington Park,Park,"Built to defend the river approach to Washington, DC, Fort Washington has stood as silent sentry for over 200 years. As technologies advanced so did Fort Washington, from the brick and stone of the 19th century to the concrete and steel of the 20th century. Joining the National Park Service in 1946, the park continues to protect the Potomac River.",13551 Fort Washington Road,Fort Washington,MD,20744,"lat:38.70875364, long:-77.02174195",https://www.nps.gov/fowa/index.htm
57CCF213-6285-408F-AD58-CC2DB9D5B6C1,fobu,Fossil Butte,Fossil Butte National Monument,National Monument,"Some of the world's best preserved fossils are found in the flat-topped ridges of southwestern Wyoming's cold sagebrush desert. Fossilized fishes, insects, plants, reptiles, birds, and mammals are exceptional for their abundance, variety, and detail of preservation. Most remarkable is the story they tell of ancient life in a subtropical landscape.",864 Chicken Creek Road,Kemmerer,WY,83101,"lat:41.85635223, long:-110.7624754",https://www.nps.gov/fobu/index.htm
8F8CC788-D1BB-42BC-A41E-B442E2B001C8,frde,Franklin Delano Roosevelt Memorial,Franklin Delano Roosevelt Memorial,,These words by President Franklin Delano Roosevelt ushered the United States into World War II and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy.,400 West Basin Drive SW,Washington,DC,20002,"lat:38.88341274, long:-77.04311542",https://www.nps.gov/frde/index.htm
F6831504-A456-45C8-B87B-0FCE1D849A12,frdo,Frederick Douglass,Frederick Douglass National Historic Site,National Historic Site,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.",1411 W Street SE,Washington,DC,20020,"lat:38.86298458, long:-76.98508147",https://www.nps.gov/frdo/index.htm
CDC0FE7F-C249-466C-88B2-B81FC5279B91,frla,Frederick Law Olmsted,Frederick Law Olmsted National Historic Site,National Historic Site,"Frederick Law Olmsted (1822-1903) is recognized as the founder of American landscape architecture and the nation's foremost parkmaker. Olmsted moved his home to suburban Boston in 1883 and established the world's first full-scale professional office for the practice of landscape design. During the next century, his sons and successors perpetuated Olmsted's design ideals, philosophy, and influence.",99 Warren Street,Brookline,MA,02445,"lat:42.32424266, long:-71.13202567",https://www.nps.gov/frla/index.htm
52430E36-3361-4BB8-BE6F-0F2834E50CB3,frsp,Fredericksburg & Spotsylvania,Fredericksburg & Spotsylvania National Military Park,National Military Park,"Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania--this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.",120 Chatham Ln,Fredericksburg,VA,22405,"lat:38.28277118, long:-77.6470428",https://www.nps.gov/frsp/index.htm
FFEB6894-949B-4C17-924D-646B63966718,frri,Freedom Riders,Freedom Riders National Monument,National Monument,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel.",Freedom Riders National Monument,Anniston,AL,36201,"lat:33.6352691650391, long:-85.9064331054688",https://www.nps.gov/frri/index.htm
F6D0ABED-2C07-4194-8CB7-09476271EDB9,frhi,Friendship Hill,Friendship Hill National Historic Site,National Historic Site,"Albert Gallatin is best remembered for his thirteen year tenure as Secretary of the Treasury during the Jefferson and Madison administrations. In that time he reduced the national debt, purchased the Louisiana Territory and funded the Lewis & Clark exploration. Gallatin's accomplishments and contributions are highlighted at Friendship Hill, his restored country estate.",223 New Geneva Rd.,Point Marion,PA,15470,"lat:39.77543423, long:-79.92504169",https://www.nps.gov/frhi/index.htm
BC195D18-71C8-4A99-BF8E-10BFAB849679,gaar,Gates Of The Arctic,Gates Of The Arctic National Park & Preserve,National Park & Preserve,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.",101 Dunkel St,Fairbanks,AK,99701,"lat:67.75961636, long:-153.2917758",https://www.nps.gov/gaar/index.htm
BD588493-EC77-4B97-B73E-3BA444864DC5,jeff,Gateway Arch,Gateway Arch National Park,National Park,"The Gateway Arch reflects St. Louis' role in the Westward Expansion of the United States during the nineteenth century. The park is a memorial to Thomas Jefferson's role in opening the West, to the pioneers who helped shape its history, and to Dred Scott who sued for his freedom in the Old Courthouse.",11. North 4th Street,St. Louis,MO,63102,"lat:38.6258069, long:-90.1892508",https://www.nps.gov/jeff/index.htm
BBC5BE3F-E921-40B5-A850-F259D9FAF88C,gate,Gateway,Gateway National Recreation Area,National Recreation Area,"Spanning 27,000 acres from Sandy Hook in New Jersey to Breezy Point in New York City, the park is both the gateway from the ocean into New York Harbor, and the gateway to the National Park Service for millions of visitors every year. Gateway offers green spaces and beaches alongside historic structures and cultural landscapes. Every day, Gateway is open for you to explore, envision, and enjoy!",210 New York Avenue,Staten Island,NY,10305,"lat:40.56536246, long:-73.9171087",https://www.nps.gov/gate/index.htm
A1994071-1BCB-4C14-9C21-108348882067,gari,Gauley River,Gauley River National Recreation Area,National Recreation Area,"The 25 miles of free-flowing Gauley River and the six miles of the Meadow River pass through scenic gorges and valleys containing a wide variety of natural and cultural features. The Gauley River contains several class V+ rapids, making it one of the most adventurous white water boating rivers in the east.",Gauley River National Recreation Area,Glen Jean,WV,25846-0246,"lat:38.20614947, long:-81.00420836",https://www.nps.gov/gari/index.htm
99F1F4ED-5B14-4756-B0EB-FF251B1A12BD,gegr,General Grant,General Grant National Memorial,National Memorial,"The final resting place of President Ulysses S. Grant and his wife, Julia, is the largest mausoleum in North America. It testifies to a people’s gratitude for the man who ended the bloodiest conflict in American history as Commanding General of the Union Army and then, as President of the United States, strove to heal a nation after a civil war and make rights for all citizens a reality.",Riverside Drive and W. 122nd Street,New York,NY,10027,"lat:40.81332817, long:-73.96331542",https://www.nps.gov/gegr/index.htm
48C4BDA1-98A3-441A-87FF-BAAB3AA043AE,gero,George Rogers Clark,George Rogers Clark National Historical Park,National Historical Park,"The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 a.m., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states.",401 S. 2nd Street,Vincennes,IN,47591,"lat:38.67912659, long:-87.53545212",https://www.nps.gov/gero/index.htm
542D7CC3-B948-4891-9811-829661F30686,gewa,George Washington Birthplace,George Washington Birthplace National Monument,National Monument,"Established to honor the 200th birthday of the first president of the United States, the Birthplace represents more than a century of local, state, and national efforts to memorialize Washington. The Washington's shaped an American identity by their encounters and relationships with Native Americans, enslaved Africans, and other Europeans who were all struggling to find their place in this world.",1732 Popes Creek Road,Colonial Beach,VA,22443,"lat:38.19362603, long:-76.92079458",https://www.nps.gov/gewa/index.htm
56A5A3B1-4F49-4517-86B8-AE2F272D0C42,gwca,George Washington Carver,George Washington Carver National Monument,National Monument,"The young child known as the ""Plant Doctor"" tended his secret garden while observing the day-to-day operations of a 19th century farm. Nature and nurture ultimately influenced George on his quest for education to becoming a renowned agricultural scientist, educator, and humanitarian.",5646 Carver Road,Diamond,MO,64840,"lat:36.9871322, long:-94.35522737",https://www.nps.gov/gwca/index.htm
E6D5BB41-3251-469F-ABDA-7B43B966F0CF,gwmp,George Washington,George Washington Memorial Parkway,Memorial Parkway,"The George Washington Memorial Parkway was designed for recreational driving. It links sites that commemorate important episodes in American history and preserve habitat for local wildlife. The parkway and its associated trails provide a scenic place to play and rest in the busy Washington, DC metropolitan area.",George Washington Memorial Parkway Headquarters,McLean,VA,22101,"lat:38.85452263, long:-77.08528147",https://www.nps.gov/gwmp/index.htm
8C330DA3-6194-4034-8948-C6B6772B82A0,gett,Gettysburg,Gettysburg National Military Park,National Military Park,"The Battle of Gettysburg was a turning point in the Civil War, the Union victory that ended General Robert E. Lee's second and most ambitious invasion of the North. Often referred to as the ""High Water Mark of the Rebellion"", Gettysburg was the Civil War's bloodiest battle and was also the inspiration for President Abraham Lincoln's immortal ""Gettysburg Address"".",1195 Baltimore Pike,Gettysburg,PA,17325,"lat:39.81557366, long:-77.23246758",https://www.nps.gov/gett/index.htm
1BB1F955-A830-4E85-A80F-5E940A143CE5,gicl,Gila Cliff Dwellings,Gila Cliff Dwellings National Monument,National Monument,"For thousands of years, groups of nomadic people used the caves of the Gila River as temporary shelter. In the late 1200's, people of the Mogollon Culture decided it would be a good place to call home. They built rooms, crafted pottery and raised children in the cliff dwellings for about twenty years. Then the Mogollon moved on, leaving the walls for us as a glimpse into the past.",26 Jim Bradford Trail,Mimbres,NM,88049,"lat:33.22715258, long:-108.2706711",https://www.nps.gov/gicl/index.htm
3682DBDE-6746-4979-86CC-2358C5B72661,glba,Glacier Bay,Glacier Bay National Park & Preserve,National Park & Preserve,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.",1 Park Road,Gustavus,AK,99826,"lat:58.80086718, long:-136.8407579",https://www.nps.gov/glba/index.htm
2B5178C6-2446-488C-AC31-47E3CEBF7159,glac,Glacier,Glacier National Park,National Park,"Come and experience Glacier's pristine forests, alpine meadows, rugged mountains, and spectacular lakes. With over 700 miles of trails, Glacier is a hiker's paradise for adventurous visitors seeking wilderness and solitude. Relive the days of old through historic chalets, lodges, and the famous Going-to-the-Sun Road. Explore Glacier National Park and discover what awaits you.",64 Grinnell Drive,West Glacier,MT,59936,"lat:48.68414678, long:-113.8009306",https://www.nps.gov/glac/index.htm
F7EB51F0-240D-49BC-968C-792756A3B1A0,glca,Glen Canyon,Glen Canyon National Recreation Area,National Recreation Area,"Encompassing over 1.25 million acres, Glen Canyon National Recreation Area offers unparalleled opportunities for water-based & backcountry recreation. The recreation area stretches for hundreds of miles from Lees Ferry in Arizona to the Orange Cliffs of southern Utah, encompassing scenic vistas, geologic wonders, and a vast panorama of human history.",691 Scenic View Rd.,Page,AZ,86040,"lat:36.9357464676887, long:-111.485594268007",https://www.nps.gov/glca/index.htm
3FBC6D2D-C61B-4399-BC35-1B00C92C406A,glec,Glen Echo,Glen Echo Park,Park,"Glen Echo Park began in 1891 as a National Chautauqua Assembly ""to promote liberal and practical education."" By 1911, it transformed into DC's premier amusement park until it closed in 1968. Since 1971, the National Park Service has owned and operated the site and today, with the help of the Glen Echo Park Partnership for Arts and Culture, offers year-round cultural and recreational activities.",7300 MacArthur Boulevard,Glen Echo,MD,20812,"lat:38.96912315, long:-77.14012206",https://www.nps.gov/glec/index.htm
